"ADM2_PC","ADM2_ES","ADM1_PC","ADM1_ES","ADM0_PC","ADM0_ES","college","clinic","university","school","hospital"
"CO05001","Medellin","CO05","Antioquia","CO","Colombia",60,102,51,321,100
"CO05045","Apartado","CO05","Antioquia","CO","Colombia",1,NA,5,35,13
"CO05088","Bello","CO05","Antioquia","CO","Colombia",1,3,3,35,8
"CO05129","Caldas","CO05","Antioquia","CO","Colombia",1,NA,NA,1,2
"CO05145","Caramanta","CO05","Antioquia","CO","Colombia",1,NA,NA,1,1
"CO05148","El Carmen de Viboral","CO05","Antioquia","CO","Colombia",1,1,2,18,1
"CO05264","Entrerrios","CO05","Antioquia","CO","Colombia",2,NA,NA,3,1
"CO05266","Envigado","CO05","Antioquia","CO","Colombia",5,NA,3,37,4
"CO05310","Gomez Plata","CO05","Antioquia","CO","Colombia",1,NA,NA,3,1
"CO05318","Guarne","CO05","Antioquia","CO","Colombia",1,NA,NA,6,2
"CO05360","Itagui","CO05","Antioquia","CO","Colombia",4,2,NA,18,8
"CO05380","La Estrella","CO05","Antioquia","CO","Colombia",1,1,NA,2,3
"CO05579","Puerto Berrio","CO05","Antioquia","CO","Colombia",2,NA,1,9,1
"CO05604","Remedios","CO05","Antioquia","CO","Colombia",1,NA,NA,4,1
"CO05642","Salgar","CO05","Antioquia","CO","Colombia",1,1,NA,5,1
"CO05665","San Pedro de Uraba","CO05","Antioquia","CO","Colombia",1,NA,NA,36,1
"CO05686","Santa Rosa de Osos","CO05","Antioquia","CO","Colombia",1,NA,1,19,5
"CO05690","Santo Domingo","CO05","Antioquia","CO","Colombia",1,NA,NA,NA,1
"CO05792","Tarso","CO05","Antioquia","CO","Colombia",1,NA,NA,NA,2
"CO05873","Vigia del Fuerte","CO05","Antioquia","CO","Colombia",1,NA,NA,1,1
"CO05895","Zaragoza","CO05","Antioquia","CO","Colombia",1,1,NA,5,1
"CO08001","Barranquilla","CO08","Atlantico","CO","Colombia",21,33,16,202,67
"CO08296","Galapa","CO08","Atlantico","CO","Colombia",1,NA,NA,5,1
"CO08372","Juan de Acosta","CO08","Atlantico","CO","Colombia",1,NA,NA,NA,NA
"CO08433","Malambo","CO08","Atlantico","CO","Colombia",2,1,NA,16,2
"CO08560","Ponedera","CO08","Atlantico","CO","Colombia",3,NA,NA,NA,NA
"CO08638","Sabanalarga","CO08","Atlantico","CO","Colombia",5,1,NA,2,2
"CO08758","Soledad","CO08","Atlantico","CO","Colombia",3,5,NA,44,13
"CO08770","Suan","CO08","Atlantico","CO","Colombia",2,NA,NA,1,1
"CO11001","Bogota, D.C.","CO11","Bogota, D.C.","CO","Colombia",117,258,162,1187,155
"CO13001","Cartagena de Indias","CO13","Bolivar","CO","Colombia",11,23,18,92,19
"CO13244","El Carmen de Bolivar","CO13","Bolivar","CO","Colombia",1,1,1,15,1
"CO13430","Magangue","CO13","Bolivar","CO","Colombia",1,1,2,3,2
"CO13600","Rio Viejo","CO13","Bolivar","CO","Colombia",2,NA,NA,7,4
"CO13836","Turbaco","CO13","Bolivar","CO","Colombia",1,NA,2,3,2
"CO15001","Tunja","CO15","Boyaca","CO","Colombia",5,2,9,32,16
"CO15104","Boyaca","CO15","Boyaca","CO","Colombia",1,NA,NA,3,NA
"CO15131","Caldas","CO15","Boyaca","CO","Colombia",1,NA,NA,4,NA
"CO15176","Chiquinquira","CO15","Boyaca","CO","Colombia",2,2,3,11,3
"CO15187","Chivata","CO15","Boyaca","CO","Colombia",1,NA,NA,14,2
"CO15238","Duitama","CO15","Boyaca","CO","Colombia",3,3,4,45,6
"CO15322","Guateque","CO15","Boyaca","CO","Colombia",1,NA,NA,4,NA
"CO15407","Villa de Leyva","CO15","Boyaca","CO","Colombia",1,NA,NA,4,1
"CO15442","Maripi","CO15","Boyaca","CO","Colombia",7,NA,NA,11,3
"CO15537","Paz de Rio","CO15","Boyaca","CO","Colombia",1,NA,1,3,1
"CO15572","Puerto Boyaca","CO15","Boyaca","CO","Colombia",1,1,NA,38,4
"CO15638","Sachica","CO15","Boyaca","CO","Colombia",1,1,NA,17,NA
"CO15646","Samaca","CO15","Boyaca","CO","Colombia",2,NA,NA,13,1
"CO15740","Siachoque","CO15","Boyaca","CO","Colombia",4,NA,NA,2,1
"CO15753","Soata","CO15","Boyaca","CO","Colombia",2,NA,NA,14,NA
"CO15763","Sotaquira","CO15","Boyaca","CO","Colombia",1,NA,NA,7,NA
"CO15808","Tinjaca","CO15","Boyaca","CO","Colombia",1,NA,NA,2,NA
"CO15861","Ventaquemada","CO15","Boyaca","CO","Colombia",1,NA,NA,8,1
"CO17001","Manizales","CO17","Caldas","CO","Colombia",5,17,15,51,18
"CO17653","Salamina","CO17","Caldas","CO","Colombia",2,NA,NA,4,NA
"CO17873","Villamaria","CO17","Caldas","CO","Colombia",1,NA,NA,18,2
"CO18001","Florencia","CO18","Caqueta","CO","Colombia",4,3,2,9,4
"CO18029","Albania","CO18","Caqueta","CO","Colombia",1,NA,NA,17,2
"CO18150","Cartagena del Chaira","CO18","Caqueta","CO","Colombia",1,3,NA,5,1
"CO18479","Morelia","CO18","Caqueta","CO","Colombia",1,NA,NA,4,NA
"CO18610","San Jose del Fragua","CO18","Caqueta","CO","Colombia",2,1,NA,5,NA
