"ADM2_PC","amenities","ADM2_ES","ADM1_PC","ADM1_ES","ADM0_PC","ADM0_ES","value"
"CO05001","college","Medellín","CO05","Antioquia","CO","Colombia",60
"CO05045","college","Apartadó","CO05","Antioquia","CO","Colombia",1
"CO05088","college","Bello","CO05","Antioquia","CO","Colombia",1
"CO05129","college","Caldas","CO05","Antioquia","CO","Colombia",1
"CO05145","college","Caramanta","CO05","Antioquia","CO","Colombia",1
"CO05148","college","El Carmen de Viboral","CO05","Antioquia","CO","Colombia",1
"CO05264","college","Entrerríos","CO05","Antioquia","CO","Colombia",2
"CO05266","college","Envigado","CO05","Antioquia","CO","Colombia",5
"CO05310","college","Gómez Plata","CO05","Antioquia","CO","Colombia",1
"CO05318","college","Guarne","CO05","Antioquia","CO","Colombia",1
"CO05360","college","Itagüí","CO05","Antioquia","CO","Colombia",4
"CO05380","college","La Estrella","CO05","Antioquia","CO","Colombia",1
"CO05579","college","Puerto Berrío","CO05","Antioquia","CO","Colombia",2
"CO05604","college","Remedios","CO05","Antioquia","CO","Colombia",1
"CO05642","college","Salgar","CO05","Antioquia","CO","Colombia",1
"CO05665","college","San Pedro de Urabá","CO05","Antioquia","CO","Colombia",1
"CO05686","college","Santa Rosa de Osos","CO05","Antioquia","CO","Colombia",1
"CO05690","college","Santo Domingo","CO05","Antioquia","CO","Colombia",1
"CO05792","college","Tarso","CO05","Antioquia","CO","Colombia",1
"CO05873","college","Vigía del Fuerte","CO05","Antioquia","CO","Colombia",1
"CO05895","college","Zaragoza","CO05","Antioquia","CO","Colombia",1
"CO08001","college","Barranquilla","CO08","Atlántico","CO","Colombia",21
"CO08296","college","Galapa","CO08","Atlántico","CO","Colombia",1
"CO08372","college","Juan de Acosta","CO08","Atlántico","CO","Colombia",1
"CO08433","college","Malambo","CO08","Atlántico","CO","Colombia",2
"CO08560","college","Ponedera","CO08","Atlántico","CO","Colombia",3
"CO08638","college","Sabanalarga","CO08","Atlántico","CO","Colombia",5
"CO08758","college","Soledad","CO08","Atlántico","CO","Colombia",3
"CO08770","college","Suan","CO08","Atlántico","CO","Colombia",2
"CO11001","college","Bogotá, D.C.","CO11","Bogotá, D.C.","CO","Colombia",117
"CO13001","college","Cartagena de Indias","CO13","Bolívar","CO","Colombia",11
"CO13244","college","El Carmen de Bolívar","CO13","Bolívar","CO","Colombia",1
"CO13430","college","Magangué","CO13","Bolívar","CO","Colombia",1
"CO13600","college","Río Viejo","CO13","Bolívar","CO","Colombia",2
"CO13836","college","Turbaco","CO13","Bolívar","CO","Colombia",1
"CO15001","college","Tunja","CO15","Boyacá","CO","Colombia",5
"CO15104","college","Boyacá","CO15","Boyacá","CO","Colombia",1
"CO15131","college","Caldas","CO15","Boyacá","CO","Colombia",1
"CO15176","college","Chiquinquirá","CO15","Boyacá","CO","Colombia",2
"CO15187","college","Chivatá","CO15","Boyacá","CO","Colombia",1
"CO15238","college","Duitama","CO15","Boyacá","CO","Colombia",3
"CO15322","college","Guateque","CO15","Boyacá","CO","Colombia",1
"CO15407","college","Villa de Leyva","CO15","Boyacá","CO","Colombia",1
"CO15442","college","Maripí","CO15","Boyacá","CO","Colombia",7
"CO15537","college","Paz de Río","CO15","Boyacá","CO","Colombia",1
"CO15572","college","Puerto Boyacá","CO15","Boyacá","CO","Colombia",1
"CO15638","college","Sáchica","CO15","Boyacá","CO","Colombia",1
"CO15646","college","Samacá","CO15","Boyacá","CO","Colombia",2
"CO15740","college","Siachoque","CO15","Boyacá","CO","Colombia",4
"CO15753","college","Soatá","CO15","Boyacá","CO","Colombia",2
"CO15763","college","Sotaquirá","CO15","Boyacá","CO","Colombia",1
"CO15808","college","Tinjacá","CO15","Boyacá","CO","Colombia",1
"CO15861","college","Ventaquemada","CO15","Boyacá","CO","Colombia",1
"CO17001","college","Manizales","CO17","Caldas","CO","Colombia",5
"CO17653","college","Salamina","CO17","Caldas","CO","Colombia",2
"CO17873","college","Villamaría","CO17","Caldas","CO","Colombia",1
"CO18001","college","Florencia","CO18","Caquetá","CO","Colombia",4
"CO18029","college","Albania","CO18","Caquetá","CO","Colombia",1
"CO18150","college","Cartagena del Chairá","CO18","Caquetá","CO","Colombia",1
"CO18479","college","Morelia","CO18","Caquetá","CO","Colombia",1
"CO18610","college","San José del Fragua","CO18","Caquetá","CO","Colombia",2
"CO18753","college","San Vicente del Caguán","CO18","Caquetá","CO","Colombia",2
"CO19001","college","Popayán","CO19","Cauca","CO","Colombia",4
"CO19022","college","Almaguer","CO19","Cauca","CO","Colombia",2
"CO19050","college","Argelia","CO19","Cauca","CO","Colombia",2
"CO19110","college","Buenos Aires","CO19","Cauca","CO","Colombia",3
"CO19130","college","Cajibío","CO19","Cauca","CO","Colombia",2
"CO19137","college","Caldono","CO19","Cauca","CO","Colombia",3
"CO19142","college","Caloto","CO19","Cauca","CO","Colombia",4
"CO19256","college","El Tambo","CO19","Cauca","CO","Colombia",10
"CO19290","college","Florencia","CO19","Cauca","CO","Colombia",1
"CO19300","college","Guachené","CO19","Cauca","CO","Colombia",2
"CO19397","college","La Vega","CO19","Cauca","CO","Colombia",3
"CO19450","college","Mercaderes","CO19","Cauca","CO","Colombia",1
"CO19455","college","Miranda","CO19","Cauca","CO","Colombia",4
"CO19513","college","Padilla","CO19","Cauca","CO","Colombia",2
"CO19517","college","Páez","CO19","Cauca","CO","Colombia",3
"CO19532","college","Patía","CO19","Cauca","CO","Colombia",5
"CO19533","college","Piamonte","CO19","Cauca","CO","Colombia",1
"CO19548","college","Piendamó - Tunía","CO19","Cauca","CO","Colombia",2
"CO19573","college","Puerto Tejada","CO19","Cauca","CO","Colombia",17
"CO19698","college","Santander de Quilichao","CO19","Cauca","CO","Colombia",8
"CO19743","college","Silvia","CO19","Cauca","CO","Colombia",1
"CO19785","college","Sucre","CO19","Cauca","CO","Colombia",2
"CO19807","college","Timbío","CO19","Cauca","CO","Colombia",4
"CO19845","college","Villa Rica","CO19","Cauca","CO","Colombia",1
"CO20001","college","Valledupar","CO20","Cesar","CO","Colombia",2
"CO20011","college","Aguachica","CO20","Cesar","CO","Colombia",3
"CO20013","college","Agustín Codazzi","CO20","Cesar","CO","Colombia",1
"CO20228","college","Curumaní","CO20","Cesar","CO","Colombia",1
"CO23001","college","Montería","CO23","Córdoba","CO","Colombia",4
"CO23417","college","Lorica","CO23","Córdoba","CO","Colombia",10
"CO23586","college","Purísima de la Concepción","CO23","Córdoba","CO","Colombia",1
"CO23660","college","Sahagún","CO23","Córdoba","CO","Colombia",1
"CO23675","college","San Bernardo del Viento","CO23","Córdoba","CO","Colombia",2
"CO23807","college","Tierralta","CO23","Córdoba","CO","Colombia",7
"CO25154","college","Carmen de Carupa","CO25","Cundinamarca","CO","Colombia",1
"CO25175","college","Chía","CO25","Cundinamarca","CO","Colombia",2
"CO25245","college","El Colegio","CO25","Cundinamarca","CO","Colombia",2
"CO25260","college","El Rosal","CO25","Cundinamarca","CO","Colombia",1
"CO25269","college","Facatativá","CO25","Cundinamarca","CO","Colombia",2
"CO25286","college","Funza","CO25","Cundinamarca","CO","Colombia",1
"CO25288","college","Fúquene","CO25","Cundinamarca","CO","Colombia",3
"CO25290","college","Fusagasugá","CO25","Cundinamarca","CO","Colombia",1
"CO25307","college","Girardot","CO25","Cundinamarca","CO","Colombia",1
"CO25317","college","Guachetá","CO25","Cundinamarca","CO","Colombia",4
"CO25322","college","Guasca","CO25","Cundinamarca","CO","Colombia",1
"CO25377","college","La Calera","CO25","Cundinamarca","CO","Colombia",1
"CO25386","college","La Mesa","CO25","Cundinamarca","CO","Colombia",3
"CO25438","college","Medina","CO25","Cundinamarca","CO","Colombia",1
"CO25473","college","Mosquera","CO25","Cundinamarca","CO","Colombia",1
"CO25513","college","Pacho","CO25","Cundinamarca","CO","Colombia",1
"CO25645","college","San Antonio del Tequendama","CO25","Cundinamarca","CO","Colombia",1
"CO25653","college","San Cayetano","CO25","Cundinamarca","CO","Colombia",1
"CO25736","college","Sesquilé","CO25","Cundinamarca","CO","Colombia",1
"CO25740","college","Sibaté","CO25","Cundinamarca","CO","Colombia",1
"CO25754","college","Soacha","CO25","Cundinamarca","CO","Colombia",3
"CO25769","college","Subachoque","CO25","Cundinamarca","CO","Colombia",1
"CO25785","college","Tabio","CO25","Cundinamarca","CO","Colombia",11
"CO25797","college","Tena","CO25","Cundinamarca","CO","Colombia",1
"CO25839","college","Ubalá","CO25","Cundinamarca","CO","Colombia",2
"CO25862","college","Vergara","CO25","Cundinamarca","CO","Colombia",1
"CO25899","college","Zipaquirá","CO25","Cundinamarca","CO","Colombia",1
"CO27001","college","Quibdó","CO27","Chocó","CO","Colombia",2
