"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO91","Amazonas","CO91001","Leticia",1,1.7832,1.427,1.7832,1.427,12,1,1,2,27,2,NA,NA
"CO","Colombia","CO91","Amazonas","CO91001","Leticia",4,0.843857142857143,0.510857142857143,0.843857142857143,0.510857142857143,87,1,1,2,27,2,-0.526773697365891,-0.64200620682751
"CO","Colombia","CO05","Antioquia","CO05001","Medellin",1,21.269932642487,8.130701208981,21.1952342659758,8.06407443868739,163650,60,102,51,321,100,NA,NA
"CO","Colombia","CO05","Antioquia","CO05001","Medellin",4,23.7570805921053,8.30010855263158,23.6928688815789,8.25897878289474,205979,60,102,51,321,100,0.11783944372875,0.0241694624335673
"CO","Colombia","CO05","Antioquia","CO05002","Abejorral",1,10.7706666666667,6.74441666666667,10.7706666666667,6.74441666666667,31,0,0,0,5,2,NA,NA
"CO","Colombia","CO05","Antioquia","CO05002","Abejorral",4,8.65645454545455,8.32654545454545,8.65645454545455,8.32654545454545,49,0,0,0,5,2,-0.196293524499764,0.234583488250101
"CO","Colombia","CO05","Antioquia","CO05004","Abriaqui",1,4.891,0.561,4.891,0.561,9,0,0,0,0,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05004","Abriaqui",4,19.859,15.9405,19.859,15.9405,6,0,0,0,0,1,3.06031486403598,27.4144385026738
"CO","Colombia","CO05","Antioquia","CO05021","Alejandria",1,5.1215,5.9485,5.1215,5.9485,46,0,0,0,6,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05021","Alejandria",4,8.70866666666667,8.13433333333333,8.70866666666667,8.13433333333333,15,0,0,0,6,1,0.700413290377168,0.367459583648539
"CO","Colombia","CO05","Antioquia","CO05030","Amaga",1,7.03126829268293,2.835,7.03126829268293,2.835,921,0,0,0,1,1,NA,NA
"CO","Colombia","CO05","Antioquia","CO05030","Amaga",4,7.21881666666667,3.86576666666667,7.21881666666667,3.86576666666667,1404,0,0,0,1,1,0.0266734771277197,0.363586125808348
"CO","Colombia","CO05","Antioquia","CO05031","Amalfi",1,8.36277777777778,10.2165555555556,8.36277777777778,10.2165555555556,199,0,1,2,23,1,NA,NA
