"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO91","Amazonas",1,1.7832,1.427,1.7832,1.427,12,1,1,2,30,6,NA,NA
"CO","Colombia","CO91","Amazonas",4,0.843857142857143,0.510857142857143,0.843857142857143,0.510857142857143,87,1,1,2,30,6,-0.526773697365891,-0.64200620682751
"CO","Colombia","CO05","Antioquia",1,14.0207341297728,8.03430077301476,13.7265124385102,7.83938411806044,320881,89,122,76,1231,300,NA,NA
"CO","Colombia","CO05","Antioquia",4,15.29965508581,8.74430661364588,15.0297221264127,8.60973561741314,428984,89,122,76,1231,300,0.0949410634158125,0.0982668393015678
"CO","Colombia","CO81","Arauca",1,5.1409477124183,3.10303921568627,5.1409477124183,3.10303921568627,2980,14,4,0,40,4,NA,NA
"CO","Colombia","CO81","Arauca",4,4.89909278350515,2.75121649484536,4.89909278350515,2.75121649484536,3130,14,4,0,40,4,-0.0470448139997475,-0.113380043366002
"CO","Colombia","CO88","Archipielago de San Andres, Providencia y Santa Catalina",1,3.56855844155844,3.96519480519481,3.56855844155844,3.96519480519481,2123,0,1,2,8,3,NA,NA
"CO","Colombia","CO88","Archipielago de San Andres, Providencia y Santa Catalina",4,2.47818965517241,2.79277586206897,2.47818965517241,2.79277586206897,2436,0,1,2,8,3,-0.305548810322929,-0.295677514151348
"CO","Colombia","CO08","Atlantico",1,18.233699704142,9.14240088757396,17.9015747928994,9.11414100591716,112516,38,42,25,309,92,NA,NA
"CO","Colombia","CO08","Atlantico",4,20.1625414908579,10.047811533052,19.2335513924051,9.70340908579466,145006,38,42,25,309,92,0.0744055545344524,0.0646542641259253
"CO","Colombia","CO11","Bogota, D.C.",1,24.6184134988363,10.256028704422,24.3151624515128,9.94567250581846,734217,117,258,162,1187,155,NA,NA
"CO","Colombia","CO11","Bogota, D.C.",4,26.9363728813559,10.7553497688752,26.4306770107858,10.6046996918336,1108859,117,258,162,1187,155,0.0870039245467349,0.0662627072859656
"CO","Colombia","CO13","Bolivar",1,15.2714494047619,9.21216964285714,14.9745691666667,8.42924133928572,55260,16,26,25,220,34,NA,NA
"CO","Colombia","CO13","Bolivar",4,16.3771519674355,10.3514165535957,15.3019099050204,9.15433126187246,76866,16,26,25,220,34,0.0218597767127984,0.0860207809221636
"CO","Colombia","CO15","Boyaca",1,8.97986179775281,4.84870561797753,8.86970746067416,4.81338139325843,35317,36,14,21,1104,112,NA,NA
"CO","Colombia","CO15","Boyaca",4,10.345253894081,6.63900623052959,10.1813353271028,6.16960668224299,50584,36,14,21,1104,112,0.147877240849717,0.28176144339696
"CO","Colombia","CO17","Caldas",1,9.99420400500626,4.19278848560701,9.79633622027534,4.14149116395494,44400,8,20,16,220,42,NA,NA
"CO","Colombia","CO17","Caldas",4,9.74447840531561,4.05172646733112,9.74447840531561,3.9038534440753,56036,8,20,16,220,42,-0.00529359280793162,-0.0573797481322418
"CO","Colombia","CO18","Caqueta",1,9.11504022988506,3.91462643678161,9.11504022988506,3.91462643678161,7412,11,9,2,135,15,NA,NA
"CO","Colombia","CO18","Caqueta",4,12.5884145299145,10.463358974359,11.0814369230769,9.13578341880342,9833,11,9,2,135,15,0.215730994444186,1.33375612369142
"CO","Colombia","CO85","Casanare",1,7.57533082706767,3.87884461152882,7.54551458646617,3.87884461152882,11406,15,9,8,105,21,NA,NA
